wavelength,A,D65,VM,Vprime,CIE1931x,CIE1931y,CIE1931z,CIE1964x,CIE1964y,CIE1964z,C,D50,D55,D75,Dark Skin,Light Skin,Blue Sky,Foliage,Blue Flower,Bluish Green,Orange,Purplish Blue,Moderate Red,Purple,Yellow Green,Orange Yellow,Blue,Green,Red,Yellow,Magent,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
300,0.930483,0.0341,0,0,0,0,0,0,0,0,0.00,0.019,0.024,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1.12821,1.6643,0,0,0,0,0,0,0,0,0.00,1.035,1.048,2.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1.35769,3.2945,0,0,0,0,0,0,0,0,0.00,2.051,2.072,5.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1.62219,11.7652,0,0,0,0,0,0,0,0,0.00,4.914,6.648,17.470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1.92508,20.236,0,0,0,0,0,0,0,0,0.01,7.778,11.224,29.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2.2698,28.6447,0,0,0,0,0,0,0,0,0.20,11.263,15.936,42.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2.65981,37.0535,0,0,0,0,0,0,0,0,0.40,14.748,20.647,54.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,3.09861,38.5011,0,0,0,0,0,0,0,0,1.55,16.348,22.266,56.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3.58968,39.9488,0,0,0,0,0,0,0,0,2.70,17.948,23.885,57.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,4.13648,42.4302,0,0,0,0,0,0,0,0,4.85,19.479,25.851,60.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,4.74238,44.9117,0,0,0,0,0,0,0,0,7.00,21.010,27.817,62.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,5.4107,45.775,0,0,0,0,0,0,0,0,9.95,22.476,29.219,62.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6.14462,46.6383,0,0,0.0001299,0.000003917,0.0006061,1.222E-007,1.3398E-008,0.000000535,12.90,23.942,30.621,62.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,6.9472,49.3637,0,0,0.0002321,0.000006965,0.001086,9.1927E-007,1.0065E-007,4.0283E-006,17.20,25.451,32.464,66.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7.82135,52.0891,0,0,0.0004149,0.00001239,0.001946,5.9586E-006,6.511E-007,2.61437E-005,21.40,26.961,34.308,70.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,8.7698,51.0323,0,0,0.0007416,0.00002202,0.003486,0.000033266,0.000003625,0.00014622,27.50,25.724,33.446,68.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,9.7951,49.9755,0.0002,0.000589,0.001368,0.000039,0.006450001,0.000159952,0.000017364,0.000704776,33.00,24.488,32.584,66.703,0.048,0.103,0.113,0.048,0.123,0.11,0.053,0.099,0.096,0.101,0.056,0.06,0.069,0.055,0.052,0.054,0.118,0.093,0.153,0.15,0.138,0.113,0.074,0.032
385,10.8996,52.3118,0.00039556,0.001108,0.002236,0.000064,0.01054999,0.00066244,0.00007156,0.0029278,39.92,27.179,35.335,68.333,0.051,0.12,0.138,0.049,0.152,0.133,0.054,0.12,0.108,0.115,0.058,0.061,0.081,0.056,0.052,0.053,0.142,0.11,0.189,0.184,0.167,0.131,0.079,0.033
390,12.0853,54.6482,0.0008,0.002209,0.004243,0.00012,0.02005001,0.0023616,0.0002534,0.0104822,47.40,29.871,38.087,69.963,0.055,0.141,0.174,0.049,0.197,0.167,0.054,0.15,0.123,0.135,0.059,0.063,0.096,0.057,0.052,0.054,0.179,0.134,0.245,0.235,0.206,0.15,0.084,0.033
